name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Hope,House of Sugar,Alex G,35UO6dWrEPLmeSVXtAysS4,2019-09-13,54,156614,0.553,0.329,0.596,0.469,0.118,0.414,-5.427,0.026,98.95,6,4
Southern Sky,House of Sugar,Alex G,022KnoVZaB3IJx21uW5tDH,2019-09-13,46,192866,0.514,0.34,0.474,0.00105,0.123,0.21,-5.617,0.0238,98.082,7,4
Gretel,House of Sugar,Alex G,36zqSzaPzQWZYDCNm1klgY,2019-09-13,49,190218,0.449,0.118,0.875,0.469,0.29,0.43,-6.172,0.041,140.078,8,4
Taking,House of Sugar,Alex G,0tiNeYDy3Snmqd3LGaHOIM,2019-09-13,41,134435,0.595,0.076,0.62,0.889,0.0925,0.568,-4.642,0.023,89.053,1,4
Near,House of Sugar,Alex G,2lp6P4JlONz3vwJG9KoKUP,2019-09-13,33,129475,0.461,0.165,0.889,0.174,0.174,0.669,-6.183,0.0489,166.063,4,4
Project 2,House of Sugar,Alex G,29b5SC8Ku10xZcT9vepbmL,2019-09-13,32,142296,0.381,0.327,0.787,0.213,0.114,0.206,-5.881,0.0432,112.421,2,3
Bad Man,House of Sugar,Alex G,73qKR2EaV4CbzdCHCV7XdP,2019-09-13,34,111877,0.661,0.0658,0.746,0.00636,0.0981,0.765,-4.336,0.0464,90.088,2,4
Sugar,House of Sugar,Alex G,1nS3UB8oPhbgA1ZtbX2OU7,2019-09-13,31,168284,0.347,0.0336,0.559,0.632,0.0755,0.0453,-4.144,0.0381,92.047,9,4
In My Arms,House of Sugar,Alex G,0HB3y02c3bNEaT5b8a90IW,2019-09-13,41,163200,0.539,0.442,0.483,0.0217,0.141,0.547,-5.583,0.028,127.925,3,4
Crime,House of Sugar,Alex G,2BuW69k9sSW3GTAf6M8gQE,2019-09-13,37,239029,0.562,0.329,0.457,0.34,0.164,0.26,-7.716,0.0248,95.979,6,4
SugarHouse - Live,House of Sugar,Alex G,1V0mZgcXX5CAr1cGrlh6bz,2019-09-13,35,221328,0.459,0.0863,0.723,1.28e-05,0.438,0.588,-5.738,0.0297,111.524,2,4
Poison Root,Rocket,Alex G,6ayjKIrJVuCLLbLtupBjzC,2017-05-19,50,144609,0.506,0.338,0.502,0.89,0.397,0.336,-9.59,0.0312,86.966,2,1
Proud,Rocket,Alex G,2vrUEPFeTnkeLqmG1JXiaZ,2017-05-19,43,297024,0.603,0.0293,0.733,0.00103,0.198,0.797,-6.529,0.0264,135.122,4,4
County,Rocket,Alex G,0boOQ81nFpxt2n7OCxXGcG,2017-05-19,35,181865,0.507,0.458,0.535,0.161,0.158,0.481,-6.977,0.0284,140.996,7,3
Bobby,Rocket,Alex G,18N9hZG0MZryxpB4H36IyP,2017-05-19,49,222817,0.246,0.0293,0.379,0.0,0.0945,0.384,-5.928,0.0323,92.171,7,4
